Created.Date,Agency.Name,Complaint.Type,Descriptor,Location.Type,Incident.Zip,Incident.Address,Borough,Latitude,Longitude,location,complain
10/24/13 11:32,Department of Parks and Recreation,Root/Sewer/Sidewalk Condition,Trees and Sidewalks Program,Street,11234,3807 FILLMORE AVENUE,BROOKLYN,40.6124175,-73.93158171,3,5
8/8/13 22:18,Department of Parks and Recreation,Maintenance or Facility,Rodent Sighting,Park,10016,,MANHATTAN,NA,NA,2,5
8/30/13 8:34,New York City Police Department,Illegal Parking,Commercial Overnight Parking,Street/Sidewalk,10314,4396 VICTORY BOULEVARD,STATEN ISLAND,40.58722588,-74.1983441,3,3
11/15/13 7:32,Department of Transportation,Street Condition,Pothole,,10471,5934 POST ROAD,BRONX,40.90676858,-73.89751494,0,3
3/30/13 5:30,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10017,511 LEXINGTON AVENUE,MANHATTAN,40.75510246,-73.97320355,2,2
7/20/13 18:14,Department of Environmental Protection,Water System,Fire Hydrant Emergency (FHE),,11216,380 CLIFTON PLACE,BROOKLYN,40.68936019,-73.94927253,0,1
4/7/13 0:00,Department of Housing Preservation and Development,HEATING,HEAT,RESIDENTIAL BUILDING,10472,1742 EAST 172 STREET,BRONX,40.83258374,-73.86920069,1,1
9/12/13 0:00,Department of Housing Preservation and Development,GENERAL CONSTRUCTION,DOORS,RESIDENTIAL BUILDING,10460,991 EAST 173 STREET,BRONX,40.83462948,-73.88556335,1,2
11/4/13 16:49,Department of Buildings,Building/Use,Illegal Conversion Of Residential Building/Space,,11220,846 46 STREET,BROOKLYN,40.64271563,-74.00033151,0,2
3/26/13 15:38,Department of Transportation,Street Condition,Pothole,,10006, BROADWAY,MANHATTAN,40.70897399,-74.01069457,0,3
9/6/13 0:00,Department of Housing Preservation and Development,APPLIANCE,REFRIGERATOR,RESIDENTIAL BUILDING,10472,1200 CROES AVENUE,BRONX,40.82949481,-73.8706377,1,5
8/7/13 7:14,Department of Environmental Protection,Noise,Noise: Manufacturing Noise (NK1),,11211,398 MORGAN AVENUE,BROOKLYN,40.71770742,-73.9367657,0,1
10/8/13 7:57,Department of Transportation,Street Condition,Plate Condition - Noisy,Street,11377,72-67 CALAMUS AVENUE,QUEENS,40.73457697,-73.88975126,3,3
12/14/13 0:00,Department of Housing Preservation and Development,HEATING,HEAT,RESIDENTIAL BUILDING,10453,30 BUCHANAN PLACE,BRONX,40.85814778,-73.90557908,1,1
10/19/13 3:39,New York City Police Department,Blocked Driveway,Partial Access,Street/Sidewalk,11421,92-06 93 AVENUE,QUEENS,40.68819283,-73.85051372,3,3
5/13/13 18:37,Department of Consumer Affairs,Consumer Complaint,Non-Delivery Goods/Services,,10025,2755 BROADWAY,MANHATTAN,40.8012264,-73.96790072,0,2
3/8/13 0:00,Department of Housing Preservation and Development,GENERAL CONSTRUCTION,FLOOR,RESIDENTIAL BUILDING,11208,508 HEMLOCK STREET,BROOKLYN,40.67666303,-73.8693731,1,2
2/3/13 0:00,Department of Housing Preservation and Development,PAINT - PLASTER,CEILING,RESIDENTIAL BUILDING,11433,110-15 160 STREET,QUEENS,40.69213982,-73.79065552,1,1
9/12/13 14:26,Department of Finance,DOF Literature Request,Property Tax Exemption Application for Owners - English,,,,Unspecified,NA,NA,0,4
9/8/13 15:31,BCC - Queens West,Derelict Vehicles,14 Derelict Vehicles,Street,11385,89-02 74 AVENUE,QUEENS,40.70937089,-73.86098774,3,2
11/19/13 16:44,Department of Transportation,Broken Muni Meter,Timer Defect - Fast/Fail,Street,10011,,MANHATTAN,40.73868642,-73.99587543,3,3
7/25/13 0:00,Department of Health and Mental Hygiene,Rodent,Rat Sighting,1-2 Family Mixed Use Building,11417,107-06 CROSSBAY BOULEVARD,QUEENS,40.67864367,-73.84423666,1,2
7/9/13 0:00,Department of Housing Preservation and Development,PLUMBING,TOILET,RESIDENTIAL BUILDING,10463,58 MARBLE HILL AVENUE,MANHATTAN,40.87571989,-73.90970166,1,1
6/16/13 9:11,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,10017,,MANHATTAN,40.75461951,-73.97373433,3,3
12/15/13 0:00,Department of Housing Preservation and Development,PAINT - PLASTER,RADIATOR,RESIDENTIAL BUILDING,11209,245 96 STREET,BROOKLYN,40.61684891,-74.03496782,1,1
3/14/13 15:55,Department of Transportation,Traffic Signal Condition,LED Lense,,11207,,BROOKLYN,40.68579669,-73.91163549,0,3
3/24/13 20:46,Department of Buildings,Building/Use,Illegal Conversion Of Residential Building/Space,,11215,403 FIRST STREET,BROOKLYN,40.67249736,-73.97915609,0,2
3/4/13 0:00,Department of Housing Preservation and Development,HEATING,HEAT,RESIDENTIAL BUILDING,10456,1174 SHERIDAN AVENUE,BRONX,40.83332805,-73.91714917,1,1
12/11/13 2:20,Department of Buildings,Building/Use,Illegal Conversion Of Residential Building/Space,,10002,87 LUDLOW STREET,MANHATTAN,40.71823482,-73.98931116,0,2
11/26/13 0:00,Department of Housing Preservation and Development,GENERAL CONSTRUCTION,LOCKS,RESIDENTIAL BUILDING,10459,1050 LOWELL STREET,BRONX,40.82597677,-73.88696212,1,2
10/22/13 18:17,Department of Transportation,Street Condition,Blocked - Construction,Street,10465,1123 VINCENT AVENUE,BRONX,40.83557097,-73.8208999,3,3
8/30/13 16:41,Department of Environmental Protection,Water System,Hydrant Running Full (WA4),,10029,224 1 AVENUE,MANHATTAN,40.79565759,-73.93566234,0,1
5/17/13 23:53,New York City Police Department,Noise - Commercial,Loud Music/Party,Store/Commercial,11206,889 BROADWAY,BROOKLYN,40.69803039,-73.93709451,2,2
1/3/13 0:00,Department of Housing Preservation and Development,HEATING,HEAT,RESIDENTIAL BUILDING,11216,823 ST JOHNS PLACE,BROOKLYN,40.67168183,-73.95096587,1,1
2/10/13 0:00,Department of Housing Preservation and Development,PAINT - PLASTER,CEILING,RESIDENTIAL BUILDING,10034,66 VERMILYEA AVENUE,MANHATTAN,40.8656487,-73.92364561,1,1
12/17/13 10:35,New York City Police Department,Animal Abuse,No Shelter,House and Store,10453,1529 POPHAM AVENUE,BRONX,40.84810877,-73.921732,4,5
4/12/13 0:00,Department of Housing Preservation and Development,GENERAL CONSTRUCTION,LOCKS,RESIDENTIAL BUILDING,11419,126-07 LIBERTY AVENUE,QUEENS,40.68856626,-73.81819013,1,2
7/3/13 7:13,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11234,1741 EAST 51 STREET,BROOKLYN,40.61786229,-73.92574087,3,3
5/17/13 10:59,Department of Environmental Protection,Hazardous Materials,Chemical Odor (HD1),,10023,135 WEST 70 STREET,MANHATTAN,40.77648274,-73.98061833,0,5
12/30/13 6:21,Department of Transportation,Traffic Signal Condition,Controller,,11234,,BROOKLYN,40.63090472,-73.92041955,0,3
4/12/13 7:55,Department of Buildings,General Construction/Plumbing,Fence - None/Inadequate,,11362,245-40 61 AVENUE,QUEENS,40.75664675,-73.73209025,0,2
8/15/13 0:00,Department of Housing Preservation and Development,PAINT - PLASTER,CEILING,RESIDENTIAL BUILDING,11226,125 EAST 19 STREET,BROOKLYN,40.64634603,-73.96151406,1,1
10/4/13 9:25,Department of Parks and Recreation,Overgrown Tree/Branches,Dead Branches in Tree,Street,11365,196-15 48 AVENUE,QUEENS,40.75081025,-73.7837941,3,5
1/10/13 0:00,Department of Housing Preservation and Development,NONCONST,VERMIN,RESIDENTIAL BUILDING,10003,243 EAST 14 STREET,MANHATTAN,40.73287502,-73.98616604,1,4
2/1/13 10:29,Department of Transportation,Street Light Condition,Street Light Out,,, FDR DR,MANHATTAN,NA,NA,0,2
10/29/13 12:43,Department of Transportation,Street Light Condition,Street Light Out,,11373,,QUEENS,40.74519954,-73.87157007,0,2
2/15/13 14:22,Department of Environmental Protection,Noise,Noise: air condition/ventilation equipment (NV1),,10027,3111 BROADWAY,MANHATTAN,40.81280955,-73.96039906,0,1
12/11/13 0:00,Department of Housing Preservation and Development,HEATING,HEAT,RESIDENTIAL BUILDING,10462,2055 CRUGER AVENUE,BRONX,40.85188178,-73.86678427,1,1
8/5/13 11:56,Department of Parks and Recreation,Damaged Tree,Branch Cracked and Will Fall,Street,10469,2426 FENTON AVENUE,BRONX,40.86154541,-73.84447349,3,2
2/19/13 0:00,Department of Housing Preservation and Development,HEATING,HEAT,RESIDENTIAL BUILDING,11233,1999 EASTERN PARKWAY,BROOKLYN,40.67972344,-73.9059002,1,1
7/27/13 15:34,New York City Police Department,Noise - Commercial,Loud Music/Party,Store/Commercial,10012,136 WOOSTER STREET,MANHATTAN,40.72566263,-73.99984847,2,2
7/14/13 15:55,New York City Police Department,Derelict Vehicle,With License Plate,Street/Sidewalk,10309,,STATEN ISLAND,40.53248324,-74.20309212,3,5
5/28/13 18:04,Department of Consumer Affairs,Consumer Complaint,False Advertising,,11417,98-05 LIBERTY AVENUE,QUEENS,40.68095334,-73.84118468,0,2
9/25/13 0:00,Department of Housing Preservation and Development,HEATING,HEAT,RESIDENTIAL BUILDING,11221,874 DE KALB AVENUE,BROOKLYN,40.69254298,-73.94112404,1,1
4/7/13 12:28,Manhattan 02,Overflowing Litter Baskets,6 Overflowing Litter Baskets,Sidewalk,10014,,MANHATTAN,40.73683921,-74.00371309,3,5
10/10/13 0:00,Department of Housing Preservation and Development,GENERAL CONSTRUCTION,MOLD,RESIDENTIAL BUILDING,10469,3488 WILSON AVENUE,BRONX,40.87700777,-73.85185024,1,2
12/27/13 12:34,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,10475,750 BAYCHESTER AVENUE,BRONX,40.8741618,-73.83391085,3,3
11/1/13 12:21,Department of Parks and Recreation,Damaged Tree,Entire Tree Has Fallen Down,Street,11372,82-14 37 AVENUE,QUEENS,40.74976086,-73.8840742,3,2
4/2/13 22:02,New York City Police Department,Noise - Vehicle,Car/Truck Music,Street/Sidewalk,11432,83-18 HOMELAWN STREET,QUEENS,40.71740561,-73.79225721,3,5
7/5/13 20:25,Department of Parks and Recreation,Damaged Tree,Entire Tree Has Fallen Down,Street,11226,,BROOKLYN,40.63751373,-73.96278023,3,2
12/9/13 12:12,Queens East 12,Derelict Vehicles,14 Derelict Vehicles,Street,11412,120-05 FARMERS BOULEVARD,QUEENS,40.68626882,-73.76109982,3,2
12/5/13 23:06,New York City Police Department,Noise - Street/Sidewalk,Loud Talking,Street/Sidewalk,10029,2251 1 AVENUE,MANHATTAN,40.79570972,-73.9356334,3,5
7/22/13 0:00,Department of Housing Preservation and Development,HEATING,HEAT,RESIDENTIAL BUILDING,10468,5 MINERVA PLACE,BRONX,40.87146871,-73.89103568,1,1
3/24/13 15:04,Department of Transportation,Street Condition,Pothole,,11236,1298 EAST   95 STREET,BROOKLYN,40.63983619,-73.89930854,0,3
4/7/13 0:00,Department of Housing Preservation and Development,ELECTRIC,LIGHTING,RESIDENTIAL BUILDING,10458,4627 PARK AVENUE,BRONX,40.85772006,-73.8934911,1,1
12/8/13 0:00,Department of Housing Preservation and Development,HEATING,HEAT,RESIDENTIAL BUILDING,10034,228 NAGLE AVENUE,MANHATTAN,40.86265852,-73.92185587,1,1
1/23/13 9:03,Department of Transportation,Street Condition,Pothole,,11432,87-22 DALNY ROAD,QUEENS,40.71484622,-73.77833392,0,3
2/19/13 14:55,Department of Buildings,General Construction/Plumbing,Fence - None/Inadequate,,11040,269-07 78 AVENUE,QUEENS,40.75021571,-73.70402941,0,2
5/6/13 0:00,Department of Housing Preservation and Development,NONCONST,VERMIN,RESIDENTIAL BUILDING,11237,228 JEFFERSON STREET,BROOKLYN,40.70255116,-73.92797278,1,4
10/25/13 0:00,Department of Housing Preservation and Development,HEATING,HEAT,RESIDENTIAL BUILDING,10460,1562 MINFORD PLACE,BRONX,40.83567391,-73.88986199,1,1
11/30/13 0:00,Department of Housing Preservation and Development,HEATING,HEAT,RESIDENTIAL BUILDING,10040,519 WEST 189 STREET,MANHATTAN,40.85342657,-73.92796122,1,1
1/7/13 0:00,Department of Housing Preservation and Development,HEATING,HEAT,RESIDENTIAL BUILDING,10453,2055 HARRISON AVENUE,BRONX,40.85481908,-73.90978426,1,1
4/29/13 0:00,Department of Housing Preservation and Development,ELECTRIC,BELL-BUZZER/INTERCOM,RESIDENTIAL BUILDING,10457,2175 RYER AVENUE,BRONX,40.85469857,-73.90009664,1,1
11/30/13 0:00,Department of Housing Preservation and Development,HEATING,HEAT,RESIDENTIAL BUILDING,10010,2 PETER COOPER ROAD,MANHATTAN,40.73512709,-73.97746944,1,1
1/21/13 0:00,Department of Housing Preservation and Development,HEATING,HEAT,RESIDENTIAL BUILDING,11213,395 SCHENECTADY AVENUE,BROOKLYN,40.66423244,-73.93432207,1,1
11/22/13 21:53,Taxi and Limousine Commission,Taxi Complaint,Driver Complaint,Street,10028,,MANHATTAN,40.77465546,-73.95409255,3,3
9/11/13 21:10,Department of Transportation,Street Condition,Blocked - Construction,Street,10128,,MANHATTAN,40.78131624,-73.94612963,3,3
2/25/13 8:18,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,11221,513 HART STREET,BROOKLYN,40.69596824,-73.93087209,3,3
11/18/13 0:00,Department of Housing Preservation and Development,NONCONST,VERMIN,RESIDENTIAL BUILDING,10301,376 HOYT AVENUE,STATEN ISLAND,40.633305,-74.10524641,1,4
6/5/13 0:00,Department of Housing Preservation and Development,PLUMBING,BASIN/SINK,RESIDENTIAL BUILDING,10032,85 AUDUBON AVENUE,MANHATTAN,40.84138024,-73.93769986,1,1
3/2/13 23:20,HRA Benefit Card Replacement,Benefit Card Replacement,Medicaid,NYC Street Address,,,Unspecified,NA,NA,4,5
12/23/13 7:50,A - Canine Task Force Citywide,Dirty Conditions,E8 Canine Violation,Sidewalk,10034,546 ISHAM STREET,MANHATTAN,40.86693554,-73.91900905,3,2
11/12/13 14:15,Department of Parks and Recreation,Maintenance or Facility,Structure - Outdoors,Park,11201,2 METROTECH CENTER,BROOKLYN,40.6935069,-73.98611291,2,5
11/8/13 0:00,Department of Housing Preservation and Development,HEATING,HEAT,RESIDENTIAL BUILDING,11216,616 NOSTRAND AVENUE,BROOKLYN,40.6773987,-73.94980438,1,1
9/24/13 0:00,Department of Housing Preservation and Development,GENERAL CONSTRUCTION,MOLD,RESIDENTIAL BUILDING,10024,98 RIVERSIDE DRIVE,MANHATTAN,40.7868003,-73.981222,1,2
5/26/13 17:33,New York City Police Department,Noise - Park,Loud Music/Party,Park/Playground,11249,,BROOKLYN,40.7230834,-73.95874954,4,5
9/11/13 10:37,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11226,1515 CHURCH AVENUE,BROOKLYN,40.64846904,-73.96556697,3,3
3/12/13 14:07,Department of Finance,DOF Literature Request,SCRIE Application for Appeal,,,,Unspecified,NA,NA,0,4
4/3/13 11:52,Department of Transportation,Traffic Signal Condition,Controller,,,,BROOKLYN,NA,NA,0,3
4/5/13 0:00,Department of Housing Preservation and Development,HEATING,HEAT,RESIDENTIAL BUILDING,10040,34 ARDEN STREET,MANHATTAN,40.86193738,-73.9271458,1,1
8/13/13 22:00,Department of Parks and Recreation,Overgrown Tree/Branches,Clear Street Light,Street,11422, 147 ROAD,QUEENS,NA,NA,3,5
1/25/13 10:12,Department of Transportation,Street Condition,Pothole,,,,BRONX,NA,NA,0,3
8/5/13 10:25,A - Canine Task Force Citywide,Dirty Conditions,E8 Canine Violation,Sidewalk,10457,,BRONX,40.84660209,-73.90380272,3,2
10/9/13 15:19,Department of Transportation,Broken Muni Meter,No Receipt,Street,10013,155 6 AVENUE,MANHATTAN,40.72538806,-74.00458915,3,3
5/3/13 18:00,New York City Police Department,Graffiti,Police Report Requested,Residential Building/House,10462,1010 SACKETT AVENUE,BRONX,40.84407784,-73.8526392,1,2
11/16/13 21:54,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,11106,,QUEENS,40.76018852,-73.93289547,3,5
11/22/13 0:00,Department of Housing Preservation and Development,GENERAL CONSTRUCTION,MOLD,RESIDENTIAL BUILDING,10021,1345 1 AVENUE,MANHATTAN,40.76790961,-73.95593476,1,2
12/24/13 0:00,Department of Housing Preservation and Development,PLUMBING,WATER-LEAKS,RESIDENTIAL BUILDING,10474,1212 SPOFFORD AVENUE,BRONX,40.81388967,-73.89047968,1,1
3/22/13 19:48,Department of Transportation,Street Light Condition,Street Light Out,,11357,,QUEENS,40.78850431,-73.8190945,0,2
3/27/13 20:25,BCC - Staten Island,Sanitation Condition,15 Street Cond/Dump-Out/Drop-Off,Street,10306,89 FOX BEACH AVENUE,STATEN ISLAND,40.55193806,-74.11393808,3,2
11/27/13 0:00,Department of Housing Preservation and Development,HEATING,HEAT,RESIDENTIAL BUILDING,10010,530 EAST 23 STREET,MANHATTAN,40.73562355,-73.97579859,1,1
4/17/13 0:00,Department of Housing Preservation and Development,GENERAL CONSTRUCTION,LOCKS,RESIDENTIAL BUILDING,10040,1 SICKLES STREET,MANHATTAN,40.86004609,-73.9268442,1,2
8/18/13 0:00,Department of Housing Preservation and Development,HEATING,HEAT,RESIDENTIAL BUILDING,11226,394 EAST 21 STREET,BROOKLYN,40.64456926,-73.95891339,1,1
6/21/13 21:52,New York City Police Department,Noise - Commercial,Loud Talking,Club/Bar/Restaurant,10016,118 EAST 29 STREET,MANHATTAN,40.74351869,-73.98263442,2,2
12/4/13 10:36,Department of Transportation,Street Light Condition,Lamppost Base Door/Cover Open,,11417,,QUEENS,40.68013212,-73.84686872,0,2
7/13/13 14:17,Queens East 12,Sanitation Condition,22 Weeds,Sidewalk,11434,134-35 154 STREET,QUEENS,40.67025614,-73.7820293,3,2
1/22/13 0:00,Department of Housing Preservation and Development,HEATING,HEAT,RESIDENTIAL BUILDING,11221,394 JEFFERSON AVENUE,BROOKLYN,40.684172,-73.94224916,1,1
6/4/13 10:52,Department of Transportation,Street Condition,Pothole,,10304,30 WARD AVENUE,STATEN ISLAND,40.63467758,-74.08133237,0,3
2/1/13 15:58,Department of Finance,DOF Literature Request,SCRIE Application for Appeal,,,,Unspecified,NA,NA,0,4
4/12/13 0:00,Department of Housing Preservation and Development,HEATING,HEAT,RESIDENTIAL BUILDING,10467,3150 ROCHAMBEAU AVENUE,BRONX,40.87453769,-73.88036368,1,1
3/26/13 21:12,Department of Transportation,Street Condition,Pothole,,10036,,MANHATTAN,40.75797293,-73.98553637,0,3
1/4/13 0:00,Department of Housing Preservation and Development,PLUMBING,RADIATOR,RESIDENTIAL BUILDING,11221,71 CORNELIA STREET,BROOKLYN,40.68927515,-73.91643751,1,1
6/25/13 0:00,Department of Housing Preservation and Development,PLUMBING,WATER-LEAKS,RESIDENTIAL BUILDING,11368,35-20 97 STREET,QUEENS,40.75293853,-73.8704904,1,1
11/13/13 11:10,Department of Transportation,Street Light Condition,Street Light Out,,11213,,BROOKLYN,40.67903459,-73.93850769,0,2
12/23/13 0:00,Department of Housing Preservation and Development,GENERAL,MOLD,RESIDENTIAL BUILDING,11355,42-30 UNION STREET,QUEENS,40.75714037,-73.82458318,1,5
2/12/13 21:04,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,10017, EAST 46 STREET,MANHATTAN,40.75188187,-73.96918413,3,3
1/18/13 0:00,Department of Housing Preservation and Development,HEATING,HEAT,RESIDENTIAL BUILDING,11219,1454 43 STREET,BROOKLYN,40.63633581,-73.98524567,1,1
8/22/13 0:38,Department of Environmental Protection,Noise,Noise: Construction Equipment (NC1),,11416,77-04 101 AVENUE,QUEENS,40.68012207,-73.86055117,0,1
9/19/13 13:06,Department of Transportation,Street Light Condition,Multiple Street Lights Out,,, MANHATTAN BRIDGE,MANHATTAN,NA,NA,0,2
10/29/13 0:00,Department of Housing Preservation and Development,ELECTRIC,ELECTRIC-WIRING,RESIDENTIAL BUILDING,10024,42 WEST 88 STREET,MANHATTAN,40.78711622,-73.96964089,1,1
9/29/13 19:19,Department of Sanitation,Graffiti,Graffiti,Comercial,11412,106-10 DUNKIRK STREET,QUEENS,40.70315578,-73.7738645,2,2
1/27/13 10:30,Department of Transportation,Traffic Signal Condition,LED Pedestrian Unit,,,,MANHATTAN,NA,NA,0,3
6/11/13 17:27,Department of Transportation,Street Condition,"Rough, Pitted or Cracked Roads",Street,11221, SUYDAM STREET,BROOKLYN,40.69843417,-73.92822246,3,3
2/5/13 0:00,Department of Housing Preservation and Development,HEATING,HEAT,RESIDENTIAL BUILDING,,3555 BRUCKNER BOULEVARD,BRONX,NA,NA,1,1
3/9/13 13:56,Department of Transportation,Traffic Signal Condition,Controller,,,,MANHATTAN,NA,NA,0,3
10/11/13 0:00,Department of Housing Preservation and Development,NONCONST,RUBBISH,RESIDENTIAL BUILDING,11216,878 ST JOHNS PLACE,BROOKLYN,40.67156301,-73.94911663,1,4
4/13/13 15:04,New York City Police Department,Derelict Vehicle,With License Plate,Street/Sidewalk,11412,,QUEENS,40.69759431,-73.76401644,3,5
11/14/13 0:00,Department of Housing Preservation and Development,HEATING,HEAT,RESIDENTIAL BUILDING,11221,558 LEXINGTON AVENUE,BROOKLYN,40.68916796,-73.93787813,1,1
5/8/13 16:35,Department of Parks and Recreation,Root/Sewer/Sidewalk Condition,Trees and Sidewalks Program,Street,11228,833 70 STREET,BROOKLYN,40.62919939,-74.01448616,3,5
3/26/13 10:22,Bureau of Fire Prevention - Highrise Unit - Inspections,Fire Safety Director - F58,On Site Test,Street Address,10036,576 FIFTH AVENUE,MANHATTAN,40.75650892,-73.97868583,4,5
7/9/13 18:01,A - Bronx,Dirty Conditions,"E4 18"" Law",Street,10452,1169 RIVER AVENUE,BRONX,40.83482993,-73.92183073,3,2
12/29/13 0:00,Department of Housing Preservation and Development,ELECTRIC,ELECTRIC-SUPPLY,RESIDENTIAL BUILDING,11236,888 EAST 96 STREET,BROOKLYN,40.64801656,-73.90690349,1,1
2/14/13 22:31,A - Brooklyn,Recycling Enforcement,ER1 Resident Recyc. (Owner/Manager,Sidewalk,11226,566 PARKSIDE AVENUE,BROOKLYN,40.65597769,-73.95457788,3,5
1/10/13 0:00,Department of Housing Preservation and Development,GENERAL CONSTRUCTION,DOORS,RESIDENTIAL BUILDING,10468,2471 DAVIDSON AVENUE,BRONX,40.86339249,-73.90179363,1,2
1/15/13 0:00,Department of Housing Preservation and Development,HEATING,HEAT,RESIDENTIAL BUILDING,10453,2264 GRAND AVENUE,BRONX,40.85879025,-73.90583122,1,1
12/26/13 9:31,Department of Parks and Recreation,DPR Internal,Property,Park,10011,,MANHATTAN,NA,NA,2,5
8/30/13 15:58,Department of Consumer Affairs,Consumer Complaint,False Advertising,,10019,348 WEST 57 STREET,MANHATTAN,40.7672994,-73.98428164,0,2
11/5/13 0:00,Department of Housing Preservation and Development,ELECTRIC,ELECTRIC-SUPPLY,RESIDENTIAL BUILDING,11213,1661 CARROLL STREET,BROOKLYN,40.66610787,-73.93089583,1,1
7/1/13 0:00,Department of Housing Preservation and Development,PAINT - PLASTER,CEILING,RESIDENTIAL BUILDING,11239,11245 SEAVIEW AVENUE,BROOKLYN,40.64270903,-73.87844437,1,1
11/15/13 0:00,Department of Housing Preservation and Development,HEATING,HEAT,RESIDENTIAL BUILDING,11426,248-49 JAMAICA AVENUE,QUEENS,40.72629498,-73.71710242,1,1
10/17/13 8:54,Department of Buildings,Building/Use,No Certificate Of Occupancy/Illegal/Contrary To CO,,11237,269 LINDEN STREET,BROOKLYN,40.69773634,-73.91515748,0,2
